NOME DO PRODUTO;REFERENCIA_QUANTIDADE DE FOTOS DESSA REFERENCIA;DETALHES;VALOR;DETALHE 2; 
S-GIRK-J3;00SDPY0IAJH-8II_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;ALGODÃO FLEECE; 
S-GIRK-J3;00SDPY0IAJH-900_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;ALGODÃO FLEECE; 
S-GIRK-S1;00SEF60KAXU-100_1;WORKEA-RR - ARMY OF ME - SEASONAL GRAPHICS;R$ 595,00;ALGODÃO FLEECE; 
S-GIRK-S1;00SEF60KAXU-9XX_1;WORKEA-RR - ARMY OF ME - SEASONAL GRAPHICS;R$ 595,00;; 
S-ALBY-S1;00SEFB0CAYF-900B_2;VISUAL EYES PSY-DIE - SEASONAL GRAPHICS;R$ 1.395,00;; 
S-DIEX;00SEFK0AASF-100_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 1.195,00;; 
S-DIEX;00SEFK0AASF-9XX_5;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 1.195,00;; 
S-GIRK-S3;00SEGR0KAXU-100_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;; 
S-GIRK-S3;00SEGR0KAXU-38L_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;; 
S-GIRK-S3;00SEGR0KAXU-8II_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;; 
S-GIRK-S3;00SEGR0KAXU-9XX_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;ALGODÃO FLEECE; 
S-GIRK-HOOD-S1;00SGUW0KAXU-100_3;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 855,00;ALGODÃO FLEECE; 
S-ALBY-S2;00SGVS0KAXU-100_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 895,00;; 
S-ALBY-S2;00SGVS0KAXU-9XX_3;00SGVS0KAXU-9XX;R$ 895,00;; 
CATEGORIA;JAQUETAS_MALE;DETALHE 1;#N/D;; 
J-BEGO;00SEBI0KAXL-9XX_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 1.295,00;; 
J-JESSY-HOOD;00SEBV0TAYR-9XX_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 1.795,00;; 
J-AKIPRINT;00SEF50LAXE-9XXA_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 1.095,00;; 
J-REED;00SEFN0TAYV-129_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 2.195,00;; 
J-HEAD;00SF9R0LAPH-100_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 995,00;; 
J-HEAD;00SF9R0LAPH-900_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 995,00;; 
NHILL-SP;00SHFZ0DAYY-101_2;WORKEA-RR - NEON LIGHTS - SEASONAL LOGO;R$ 1.695,00;; 
J-GLORY;00SKL80LAXT-81E_1;WORKEA-RR - SEASONAL;R$ 1.095,00;; 
J-GLORY;00SKL80LAXT-900_2;WORKEA-RR - SEASONAL;R$ 1.095,00;; 
;00SF9S0TAYE-9XX_4;WORKEA-RR - INSTITUTIONAL LOGO MOHICAN;R$ 1.795,00;; 
CATEGORIA;COURO_MALE;DETALHE 1;#N/D;; 
L-DEAN;00SIMS0WAWM-7DA_2;WORKEA-RR;R$ 3.595,00;; 
L-CARRS;00S8NS0HAXI-9XX_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 3.295,00;; 
L-CARRSY;00SGPK0AAYG-5IL_2;WORKEA-RR - NEON LIGHTS;R$ 3.995,00;; 
CATEGORIA;BONES_MALE;DETALHE 1;#N/D;; 
COMIXI;00SHI00NAUI-900_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 325,00;; 
COTIGRE;00SI7Q0QAZC-129_3;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 395,00;; 
COTIGRE;00SI7Q0QAZC-900_3;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 395,00;; 
C-7ELE;00SI7R0CAXJ-3AY_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
C-7ELE;00SI7R0CAXJ-5IL_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
C-7ELE;00SI7R0CAXJ-8II_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
C-7ELE;00SI7R0CAXJ-9XX;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
CEDOUBLE;00SI8L0JAWM-129_2;WORKEA-RR - SEASONAL LOGO;R$ 395,00;; 
CEDOUBLE;00SI8L0JAWM-900_3;WORKEA-RR - SEASONAL LOGO;R$ 395,00;; 
CALBRE;00SI8Q0NAYJ-129;WORKEA-RR - INSTITUTIONAL LOGO;R$ 325,00;; 
CALBRE;00SI8Q0NAYJ-9XX_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 325,00;; 
CIRIDE-M;00SJ6P0JAPG-100_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 325,00;; 
CIRIDE-M;00SJ6P0JAPG-900_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 325,00;; 
CIRIDE-M;00SJ6P0JAPG-900B_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 325,00;; 
CATEGORIA;PROPS_MALE;DETALHE 1;#N/D;; 
CATEGORIA;FOOTWEAR_MALE;DETALHE 1;#N/D;; 
H-PADOLA LOW SOCK;Y02129P3148-T8013_1;WORKEA-RR COLOR CODE;R$ 1.195,00;; 
S-ASTICO LOW LACE;Y01873P0465-H1532_1;WORKEA-RR COLOR CODE;R$ 595,00;; 
S-ASTICO LOW LACE;Y01873PR013-T8013_1;WORKEA-RR COLOR CODE;R$ 655,00;; 
S-ASTICO LOW ZIP SP;Y02127P3128-T1015_2;DENIM HERITAGE;R$ 955,00;; 
S-BRENTHA FLOW;Y02111P3142-H7951_1;WORKEA-RR COLOR CODE;R$ 1.095,00;; 
S-BRENTHA FLOW;Y02111P3143-H7952_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-BRENTHA FLOW;Y02111P3143-H7954_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-BULLY LC;Y02134P1331-H7940_1;WORKEA-RR COLOR CODE;R$ 595,00;; 
